car speed(m/s),Yaw Angle (degree),LB Position X,LB Position Z,LB speed,LF Position X,LF Position Z,LF speed,B Position X,B Position Z,B speed,F Position X,F Position Z,F speed,RB Position X,RB Position Z,RB speed,RF Position X,RF Position Z,RF speed,LC
21.89,-1.32,0,0,0,0,0,0,0,0,0,0,0,0,-10.68,-81.99,16.007,0,0,0,0
21.955,-1.31,0,0,0,0,0,0,0,0,0,0,0,0,-10.97,-82.55,16.098,0,0,0,0
22.02,-1.3,0,0,0,0,0,0,0,0,0,0,0,0,-11.28,-83.1,16.14,0,0,0,0
22.084,-1.3,0,0,0,0,0,0,0,0,0,0,0,0,-11.59,-83.67,16.102,0,0,0,0
22.148,-1.29,0,0,0,0,0,0,0,0,0,0,0,0,-11.91,-84.24,16.096,0,0,0,0
22.212,-1.28,0,0,0,0,0,0,0,0,0,0,0,0,-12.25,-84.81,16.058,0,0,0,0
22.276,-1.27,0,0,0,0,0,0,0,0,0,0,0,0,-12.57,-85.39,16.116,0,0,0,0
22.339,-1.27,0,0,0,0,0,0,0,0,0,0,0,0,-12.9,-85.99,15.981,0,0,0,0
22.403,-1.26,0,0,0,0,0,0,0,0,0,0,0,0,-13.23,-86.59,15.976,0,0,0,0
22.466,-1.25,0,0,0,0,0,0,0,0,0,0,0,0,-13.45,-87.22,16.018,0,0,0,0
22.529,-1.24,0,0,0,0,0,0,0,0,0,0,0,0,-13.68,-87.84,16.012,0,0,0,0
22.592,-1.23,0,0,0,0,0,0,0,0,0,0,0,0,-13.81,-88.49,15.958,0,0,0,0
22.655,-1.23,0,0,0,0,0,0,0,0,0,0,0,0,-13.97,-89.14,16.033,0,0,0,0
22.717,-1.22,0,0,0,0,0,0,0,0,0,0,0,0,-14.22,-89.78,16.092,0,0,0,0
22.78,-1.21,0,0,0,0,0,0,0,0,0,0,0,0,-14.4,-90.43,16.086,0,0,0,0
22.842,-1.2,0,0,0,0,0,0,0,0,0,0,0,0,-14.67,-91.07,16.096,0,0,0,0
22.904,-1.19,0,0,0,0,0,0,0,0,0,0,0,0,-14.95,-91.71,16.074,0,0,0,0
22.966,-1.18,0,0,0,0,0,0,0,0,0,0,0,0,-15.24,-92.35,16.116,0,0,0,0
23.027,-1.17,0,0,0,0,0,0,0,0,0,0,0,0,-15.55,-93.01,15.916,0,0,0,0
23.089,-1.16,0,0,0,0,0,0,0,0,0,0,0,0,-15.86,-93.69,15.911,0,0,0,0
23.15,-1.15,0,0,0,0,0,0,0,0,0,0,0,0,-16.19,-94.36,15.921,0,0,0,0
23.211,-1.15,0,0,0,0,0,0,0,0,0,0,0,0,-16.52,-95.04,15.964,0,0,0,0
23.272,-1.14,0,0,0,0,0,0,0,0,0,0,0,0,-16.87,-95.72,15.942,0,0,0,0
23.332,-1.13,0,0,0,0,0,0,0,0,0,0,0,0,-17.23,-96.4,15.936,0,0,0,0
23.393,-1.12,0,0,0,0,0,0,0,0,0,0,0,0,-17.61,-97.08,15.946,0,0,0,0
23.453,-1.11,0,0,0,0,0,0,0,0,0,0,0,0,-17.99,-97.77,15.94,0,0,0,0
23.513,-1.1,0,0,0,0,0,0,0,0,0,0,0,0,-18.4,-98.46,15.999,0,0,0,0
23.573,-1.08,0,0,0,0,0,0,0,0,0,0,0,0,-18.81,-99.15,15.913,0,0,0,0
23.633,-1.07,0,0,0,0,0,0,0,0,0,0,0,0,-19.24,-99.84,15.826,0,0,0,0
23.693,-1.06,0,0,0,0,0,0,0,0,0,0,0,0,-19.68,-100.54,15.885,0,0,0,0
23.752,-1.05,0,0,0,0,0,0,0,0,0,0,0,0,-20.24,-101.22,16.041,0,0,0,0
23.811,-1.04,0,0,0,0,0,0,0,0,0,0,0,0,-20.99,-101.86,15.938,0,0,0,0
23.869,-1.03,0,0,0,0,0,0,0,0,0,0,0,0,-21.54,-102.54,15.852,0,0,0,0
23.928,-1.02,0,0,0,0,0,0,0,0,0,0,0,0,-21.98,-103.26,15.846,0,0,0,0
23.987,-1.01,0,0,0,0,0,0,0,0,0,0,0,0,-22.55,-103.97,15.743,0,0,0,0
24.046,-1,0,0,0,0,0,0,0,0,0,0,0,0,-23.02,-104.7,15.802,0,0,0,0
24.104,-0.99,0,0,0,0,0,0,0,0,0,0,0,0,-23.58,-105.41,15.765,0,0,0,0
24.161,-0.97,0,0,0,0,0,0,0,0,0,0,0,0,-24.06,-106.14,15.921,0,0,0,0
24.219,-0.96,0,0,0,0,0,0,0,0,0,0,0,0,-24.67,-106.82,16.012,0,0,0,0
24.276,-0.95,0,0,0,0,0,0,0,0,0,0,0,0,-25.18,-107.53,16.07,0,0,0,0
24.333,-0.94,0,0,0,0,0,0,0,0,0,0,0,0,-25.81,-108.21,16.113,0,0,0,0
24.391,-0.92,0,0,0,0,0,0,0,0,0,0,0,0,-26.35,-108.92,16.01,0,0,0,0
24.447,-0.91,0,0,0,0,0,0,0,0,0,0,0,0,-27.02,-109.6,15.956,0,0,0,0
24.504,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,-27.6,-110.32,15.982,0,0,0,0
24.561,-0.89,0,0,0,0,0,0,0,0,0,0,0,0,-28.19,-111.03,15.944,0,0,0,0
24.617,-0.87,0,0,0,0,0,0,0,0,0,0,0,0,-28.79,-111.74,15.954,0,0,0,0
24.672,-0.86,0,0,0,0,0,0,0,0,0,0,0,0,-29.53,-112.42,15.981,0,0,0,0
24.728,-0.85,0,0,0,0,0,0,0,0,0,0,0,0,-30.17,-113.12,16.023,0,0,0,0
24.784,-0.83,0,0,0,0,0,0,0,0,0,0,0,0,-30.83,-113.83,15.985,0,0,0,0
24.84,-0.82,0,0,0,0,0,0,0,0,0,0,0,0,-31.51,-114.53,15.914,0,0,0,0
24.896,-0.81,0,0,0,0,0,0,0,0,0,0,0,0,-32.2,-115.24,15.925,0,0,0,0
24.951,-0.79,0,0,0,0,0,0,0,0,0,0,0,0,-32.91,-115.94,15.935,0,0,0,0
25.006,-0.78,0,0,0,0,0,0,0,0,0,0,0,0,-33.63,-116.65,15.913,0,0,0,0
25.061,-0.77,0,0,0,0,0,0,0,0,0,0,0,0,-34.37,-117.35,15.875,0,0,0,0
25.116,-0.75,0,0,0,0,0,0,0,0,0,0,0,0,-35.13,-118.05,15.821,0,0,0,0
25.171,-0.74,0,0,0,0,0,0,0,0,0,0,0,0,-35.9,-118.75,15.912,0,0,0,0
25.226,-0.73,0,0,0,0,0,0,0,0,0,0,0,0,-36.58,-119.48,15.906,0,0,0,0
25.28,-0.72,0,0,0,0,0,0,0,0,0,0,0,0,-37.33,-120.18,15.868,0,0,0,0
25.334,-0.7,0,0,0,0,0,0,0,0,0,0,0,0,-38.12,-120.88,15.927,0,0,0,0
25.389,-0.69,0,0,0,0,0,0,0,0,0,0,0,0,-38.89,-121.59,15.824,0,0,0,0
25.442,-0.68,0,0,0,0,0,0,0,0,0,0,0,0,-39.68,-122.29,15.932,0,0,0,0
25.496,-0.66,0,0,0,0,0,0,0,0,0,0,0,0,-40.48,-122.99,16.007,0,0,0,0
25.549,-0.65,0,0,0,0,0,0,0,0,0,0,0,0,-41.24,-123.7,15.904,0,0,0,0
25.603,-0.64,0,0,0,0,0,0,0,0,0,0,0,0,-42.13,-124.38,15.801,0,0,0,0
25.657,-0.62,0,0,0,0,0,0,0,0,0,0,0,0,-42.99,-125.08,15.763,0,0,0,0
25.71,-0.61,0,0,0,0,0,0,0,0,0,0,0,0,-43.64,-125.86,15.758,0,0,0,0
25.764,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,-44.6,-126.54,15.607,0,0,0,0
25.816,-0.59,0,0,0,0,0,0,0,0,0,0,0,0,-45.46,-127.27,15.504,0,0,0,0
25.869,-0.57,0,0,0,0,0,0,0,0,0,0,0,0,-46.32,-128,15.596,0,0,0,0
25.922,-0.56,0,0,0,0,0,0,0,0,0,0,0,0,-47.12,-128.75,15.638,0,0,0,0
25.975,-0.55,0,0,0,0,0,0,0,0,0,0,0,0,-47.9,-129.51,15.616,0,0,0,0
26.028,-0.53,0,0,0,0,0,0,0,0,0,0,0,0,-48.79,-130.23,15.611,0,0,0,0
26.081,-0.52,0,0,0,0,0,0,0,0,0,0,0,0,-49.56,-131.01,15.573,0,0,0,0
26.133,-0.51,0,0,0,0,0,0,0,0,0,0,0,0,-50.5,-131.73,15.551,0,0,0,0
26.185,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,-51.39,-132.46,15.659,0,0,0,0
26.237,-0.49,0,0,0,0,0,0,0,0,0,0,0,0,-52.29,-133.18,15.75,0,0,0,0
26.29,-0.47,0,0,0,0,0,0,0,0,0,0,0,0,-53.24,-133.88,15.858,0,0,0,0
26.343,-0.46,0,0,0,0,0,0,0,0,0,0,0,0,-54.16,-134.58,15.949,0,0,0,0
26.395,-0.45,0,0,0,0,0,0,0,0,0,0,0,0,-55.07,-135.29,15.959,0,0,0,0
26.446,-0.44,0,0,0,0,0,0,0,0,0,0,0,0,-55.87,-136.05,15.937,0,0,0,0
26.498,-0.43,0,0,0,0,0,0,0,0,0,0,0,0,-56.81,-136.75,15.963,0,0,0,0
26.55,-0.42,0,0,0,0,0,0,0,0,0,0,0,0,-57.75,-137.46,15.974,0,0,0,0
26.602,-0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.653,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
